"postCode","actUseTypTxt","count"
"763513","3-room","48"
"763513","4-room","36"
"763513","5-room","24"
"763512","4-room","48"
"763512","5-room","72"
"763511","3-room","60"
"763511","4-room","24"
"763509","4-room","72"
"763509","5-room","24"
"763506","3-room","46"
"763506","4-room","60"
"763505","4-room","59"
"763505","5-room","48"
"763504","4-room","59"
"763504","5-room","48"
"763502","4-room","60"
"763502","5-room","36"
"763432","4-room","24"
"763432","5-room","72"
"763431","3-room","60"
"763431","4-room","48"
"763426","Studio Apartment","45"
"763426","2-room","3"
"763426","4-room","24"
"763426","5-room","24"
"763424","3-room","84"
"763424","4-room","48"
"763348","3-room","28"
"763348","4-room","70"
"763348","5-room","14"
"763342","4-room","56"
"763342","5-room","56"
"763336","4-room","28"
"763336","5-room","70"
"763335","4-room","28"
"763335","5-room","70"
"763334","4-room","56"
"763334","5-room","42"
"763333","Studio Apartment","76"
"763333","2-room","2"
"763333","4-room","28"
"763318","4-room","56"
"763318","5-room","56"
"763317","Studio Apartment","102"
"763317","2-room","10"
"763317","4-room","56"
"763316","4-room","56"
"763316","5-room","56"
"763315","4-room","56"
"763315","5-room","56"
"763115","4-room","39"
"763115","5-room","45"
"762813","Studio Apartment","64"
"762813","2-room","14"
"762813","3-room","77"
"762701","Studio Apartment","149"
"762701","2-room","20"
"762677","4-room","24"
"762677","5-room","72"
"762676","4-room","48"
"762676","5-room","48"
"762675","2-room","96"
"762675","3-room","36"
"762675","4-room","24"
"762674","4-room","84"
"762674","5-room","60"
"762673","3-room","24"
"762673","4-room","48"
"762673","5-room","72"
"762672","3-room","48"
"762672","4-room","108"
"762671","2-room","48"
"762671","3-room","24"
"762671","4-room","48"
"762513","4-room","36"
"762513","5-room","48"
"762512","3-room","38"
"762512","4-room","72"
"762511","4-room","48"
"762511","5-room","72"
"762510","1-room","156"
"762510","2-room","132"
"762509","4-room","48"
"762509","5-room","48"
"762508","4-room","72"
"762508","5-room","72"
"762506","3-room","60"
"762506","4-room","36"
"762505","3-room","24"
"762505","4-room","35"
