year,level_1,level_2,level_3,value
2003,45-49 Years,Total HDB Dwellings,HDB 4-Room Flats,99599
2003,45-49 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,77816
2003,50-54 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,7515
2003,50-54 Years,Total HDB Dwellings,HDB 3-Room Flats,49720
2003,50-54 Years,Total HDB Dwellings,HDB 4-Room Flats,78090
2003,50-54 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,57114
2003,55-59 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,6548
2003,55-59 Years,Total HDB Dwellings,HDB 3-Room Flats,39383
2003,55-59 Years,Total HDB Dwellings,HDB 4-Room Flats,50164
2003,55-59 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,34079
2003,60-64 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,7130
2003,60-64 Years,Total HDB Dwellings,HDB 3-Room Flats,34196
2003,60-64 Years,Total HDB Dwellings,HDB 4-Room Flats,37540
2003,60-64 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,23615
2003,65-69 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,6400
2003,65-69 Years,Total HDB Dwellings,HDB 3-Room Flats,25623
2003,65-69 Years,Total HDB Dwellings,HDB 4-Room Flats,26838
2003,65-69 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,16623
2003,70-74 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,5940
2003,70-74 Years,Total HDB Dwellings,HDB 3-Room Flats,18332
2003,70-74 Years,Total HDB Dwellings,HDB 4-Room Flats,21177
2003,70-74 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,12680
2003,75-79 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,3571
2003,75-79 Years,Total HDB Dwellings,HDB 3-Room Flats,10593
2003,75-79 Years,Total HDB Dwellings,HDB 4-Room Flats,13095
2003,75-79 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,8069
2003,80-84 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,2315
2003,80-84 Years,Total HDB Dwellings,HDB 3-Room Flats,6077
2003,80-84 Years,Total HDB Dwellings,HDB 4-Room Flats,7438
2003,80-84 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,4975
2003,85 Years & Over,Total HDB Dwellings,HDB 1- And 2-Room Flats,1939
2003,85 Years & Over,Total HDB Dwellings,HDB 3-Room Flats,4638
2003,85 Years & Over,Total HDB Dwellings,HDB 4-Room Flats,5375
2003,85 Years & Over,Total HDB Dwellings,HDB 5-Room And Executive Flats,3736
2004,Residents,Total HDB Dwellings,HDB 1- And 2-Room Flats,90422
2004,Residents,Total HDB Dwellings,HDB 3-Room Flats,618003
2004,Residents,Total HDB Dwellings,HDB 4-Room Flats,1183552
2004,Residents,Total HDB Dwellings,HDB 5-Room And Executive Flats,956836
2004,0-4 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,3283
2004,0-4 Years,Total HDB Dwellings,HDB 3-Room Flats,30169
2004,0-4 Years,Total HDB Dwellings,HDB 4-Room Flats,72256
2004,0-4 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,70432
2004,5-9 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,2999
2004,5-9 Years,Total HDB Dwellings,HDB 3-Room Flats,29574
2004,5-9 Years,Total HDB Dwellings,HDB 4-Room Flats,85197
2004,5-9 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,81717
